,Course Code,Average Grade
365,HS 418,7.3076923076923075
366,HS 426,8.549019607843137
367,HS 436,7.694545454545454
368,EC 495,8.135593220338983
369,HS 501,8.522727272727273
370,HS 503,8.0
371,HS 505,8.069767441860465
372,HS 636,6.519230769230769
373,HS 637,8.010989010989011
374,HS 694,8.666666666666666
375,HS 800,8.867924528301886
376,EC 802,8.285714285714286
377,HS 807,8.8
378,HS 811,9.227272727272727
379,HS 842,8.692307692307692
380,ECS801,9.068493150684931
381,HS 449,7.933333333333334
382,HS 640,6.6
383,HS 804,8.787878787878787
384,DE 101,8.193103448275862
385,DE 103,8.527272727272727
386,DE 105,8.2
387,DE 121,7.8807339449541285
388,DE 123,6.423423423423423
389,DE 125,7.423423423423423
390,DE 131,8.272727272727273
391,DE 133,8.4
392,DE 201,7.713286713286713
393,DE 203,7.405405405405405
394,DE 205,8.137931034482758
395,DE 207,7.644230769230769
396,DE 209,7.4324324324324325
397,DE 221,7.7622377622377625
398,DE 231,7.426573426573427
399,DE 302,8.173913043478262
400,DE 303,8.015384615384615
401,DE 305,8.44
402,DE 307,8.404761904761905
403,DE 309,8.112676056338028
404,DE 315,7.613138686131387
405,DE 331,8.830065359477125
406,DE 403,7.91970802919708
407,DE 405,7.956521739130435
408,DE 431,8.87603305785124
409,DE 601,8.952380952380953
410,DE 603,8.920634920634921
411,DE 605,8.753846153846155
412,DE 607,9.0
413,DE 609,8.873015873015873
414,DE 610,8.35820895522388
415,DE 611,8.261538461538462
416,DE 613,8.620253164556962
417,DE 615,8.76923076923077
418,DE 617,9.075757575757576
419,DE 619,8.415384615384616
420,DE 621,8.640625
421,DE 623,8.953846153846154
422,DE 625,8.5
423,DE 627,7.147651006711409
424,DE 629,8.604166666666666
425,DE 631,8.13978494623656
426,DE 633,8.217391304347826
427,DE 635,8.97872340425532
428,DE 637,7.923076923076923
429,DE 639,8.108695652173912
430,DE 641,9.295081967213115
431,DE 643,8.319148936170214
432,DE 645,8.666666666666666
433,DE 647,8.708333333333334
434,DE 649,8.541666666666666
435,DE 651,9.081967213114755
436,DE 653,9.073170731707316
437,DE 655,9.292682926829269
438,DE 657,8.195121951219512
439,DE 659,8.536585365853659
440,DE 661,8.642857142857142
441,DE 663,8.484375
442,DE 665,8.395348837209303
443,DE 669,9.246268656716419
444,DE 673,8.5
445,DE 675,8.512195121951219
446,DE 678,9.428571428571429
447,DE 679,8.604651162790697
448,DE 701,8.166666666666666
449,DE 702,8.00374531835206
450,DE 705,8.26984126984127
451,DE 707,7.796875
452,DE 709,7.901960784313726
453,DE 711,8.78
454,DE 713,8.652173913043478
455,DE 715,8.338235294117647
456,DE 721,8.261538461538462
457,DE 801,8.275862068965518
458,DE 803,7.908333333333333
459,DEP204,7.532258064516129
460,DEP301,8.381294964028777
461,DEP304,8.093023255813954
462,DEP501,6.2631578947368425
463,DEP701,8.531578947368422
464,DEP702,6.769230769230769
465,DEP703,8.058365758754864
466,DEP403,7.606741573033708
467,IE 501,7.838495575221239
468,IE 503,7.026773761713521
469,IE 507,8.435
470,IE 509,8.709090909090909
471,IE 605,7.614678899082569
472,IE 609,7.168571428571428
473,IE 621,6.522427440633245
474,IE 643,5.626780626780627
475,IE 688,9.033333333333333
476,IE 802,8.384615384615385
477,IES801,8.826086956521738
478,MA 108,6.515807392996109
479,MA 109,6.781004522732682
480,MA 111,6.502348520432128
481,MA 205,6.5651074589127685
482,MA 401,7.019047619047619
483,MA 403,6.1923076923076925
484,MA 417,6.88659793814433
485,MA 419,6.652671755725191
486,MA 503,6.638418079096045
487,MA5101,7.228571428571429
488,MA5102,7.177777777777778
489,MA 515,7.728323699421965
490,MA 521,6.689655172413793
491,MA 523,6.926315789473684
492,MA 538,8.321428571428571
493,MA 811,8.757575757575758
494,MA 813,8.555555555555555
495,MA 815,8.555555555555555
496,MA 817,8.666666666666666
497,MA 833,8.567567567567568
498,MA 863,8.75
499,MAS801,9.333333333333334
500,SI 419,6.818604651162791
501,SI 423,7.251572327044025
502,SI 503,8.808510638297872
503,SI 505,8.816901408450704
504,SI 507,6.994252873563219
505,SI 515,6.513761467889908
506,SI 593,9.277777777777779
507,ME 119,8.774572127139365
508,ME 201,7.080476900149031
509,ME 209,7.143665158371041
510,ME 219,7.262180974477959
511,ME 221,7.275340393343419
512,ME 311,7.0344403444034445
513,ME 409,7.75
514,ME 415,7.53125
515,ME 477,7.451612903225806
516,ME 494,9.571428571428571
517,ME 601,6.491304347826087
518,ME 603,7.124444444444444
519,ME6101,8.041666666666666
520,ME6102,8.0
521,ME6110,6.9879518072289155
522,ME 617,8.195876288659793
523,ME 651,6.783783783783784
524,ME 661,7.026431718061674
525,ME 662,7.4375
526,ME 663,7.2098360655737705
527,ME 669,8.454545454545455
528,ME 673,7.43398533007335
529,ME 681,7.540983606557377
