Course Code,Average Grade,CBS,nXX,Course Name,Course Type
CS 218,7.68792934249264,3.1412484000321257,2,Design and Analysis of Algorithms,Theory
CS 224,6.919902912621359,2.673471136594293,2,Computer Networks,Theory
CS 228,7.049079754601227,2.0452090706291512,2,Logic for Computer Science,Theory
CS 251,8.461977186311787,5.897923730714023,2,Software Systems Lab,Theory
CS 293,7.882993197278911,5.209946942848435,2,Data Structures and Algorithms Lab,Lab
CS 333,7.74776119402985,5.2177544092505945,3,Operating Systems Lab,Lab
CS 335,8.269345238095237,6.146669821603993,3,Artificial Intelligence and Machine Learning (Lab),Lab
CS 337,7.943939393939394,4.354640448664407,3,Artificial Intelligence and Machine Learning,Theory
CS 347,6.86697247706422,3.069793819692214,3,Operating Systems,Theory
CS 396,9.705882352941176,3.5460234866735485,3,Seminar,Seminar
CS 433,8.514285714285714,1.932114233677214,4,Automated Reasoning,Theory
CS 475,6.755905511811024,1.8013335043613596,4,Computer Graphics,Theory
CS 485,9.530973451327434,7.149375945929099,4,R & D Project II,Other Project
CS 490,9.12759643916914,7.646613680548554,4,R & D Project,Other Project
CS 492,9.324561403508772,6.517065807799096,4,BTP I,Other Project
CS 601,7.711180124223603,3.035781784452371,6,Algorithms and Complexity,Theory
CS 604,7.975609756097561,2.332662071022237,6,Combinatorics,Theory
CS 618,7.6722689075630255,3.1218997440672487,6,Program Analysis,Theory
CS 626,7.729216152019003,3.2561114396531985,6,Speech and Natural Language Processing and the Web,Theory
CS 631,7.596491228070175,2.6645548633239264,6,Implementation Techniques for Relational Database Systems,Theory
CS 635,8.503759398496241,5.348980358446456,6,Information Retrieval & Mining for Hypertext & the Web,Theory
CS 675,7.095238095238095,1.1452253312930176,6,Computer Graphics,Theory
CS 683,8.877659574468085,6.913827363040471,6,Advanced Computer Architecture,Theory
CS 691,9.32,6.7152663190752815,6,R & D Project,Other Project
CS 694,9.18452380952381,6.132197152780771,6,Seminar,Seminar
CS 699,7.807933194154488,3.13597122898369,6,Software Lab.,Theory
CS 725,7.430441898527005,2.4765002847213724,7,Foundations of Machine Learning,Theory
CS 744,7.709219858156028,2.979277505943817,7,Design and Engineering of Computing Systems,Theory
CS 747,7.33261105092091,3.328489661707372,7,Foundations of Intelligent and Learning Agents,Theory
CS 770,7.761904761904762,2.263474633474721,7,Process Engineering,Theory
CS 771,8.189655172413794,2.564340158971955,7,Foundations of verification and automated reasoning,Theory
CSS801,9.113636363636363,3.474277242101487,8,Seminar,Seminar
CS 765,8.379562043795621,5.3913001778533,7,"Introduction to Blockchains, Cryptocurrencies and Smart Contracts",Theory
CS 767,7.604651162790698,2.45812857445831,7,Theoretical Machine Learning,Theory
DS 203,7.878048780487805,3.6845534149662216,2,Programming for Data Science,Theory
EE 101,7.668639053254438,2.920500370949811,1,Introduction to Electrical and Electronics Circuits,Theory
EE 204,7.373262032085561,2.5591959530329422,2,Analog Circuits,Theory
EE 207,7.109459459459459,2.3164944428572363,2,Electronic Devices & Circuits,Theory
EE 224,8.119096509240247,4.190854337478804,2,Digital Systems,Theory
EE 229,7.120495495495495,1.9887458854532405,2,Signal Processing – I,Theory
EE 301,6.672554347826087,1.7493776484173946,3,Electromagnetic Waves,Theory
EE 451,9.382978723404255,7.9610381155019985,4,Supervised Research Exposition,Other Project
EE 491,9.461538461538462,6.875069122691095,4,BTP I,Other Project
EE 601,7.7845303867403315,3.4797356997256776,6,Statistical Signal Analysis,Theory
EE 603,7.95850622406639,3.332308840185536,6,Digital Signal Processing and its Applications,Theory
EE 609,8.324712643678161,5.286573232671269,6,Radiating Systems,Theory
EE 611,7.884393063583815,3.872381363222901,6,Microwave Integrated Circuits,Theory
EE 617,8.435897435897436,3.76585512576108,6,Sensors in Instrumentation,Theory
EE 618,7.751152073732719,3.481232868475046,6,CMOS Analog VLSI Design,Theory
EE 635,7.247191011235955,2.727505039843503,6,Applied Linear Algebra,Theory
EE 640,6.657657657657658,2.2357119680350777,6,Multivariable Control Systems,Theory
EE 653,7.273381294964029,3.428499819823838,6,Power Electronics -I,Theory
EE 655,6.783132530120482,2.011867970737651,6,Computer Aided Power System Analysis,Theory
EE 657,7.317073170731708,3.5568176988546094,6,Electric Drives,Theory
EE 659,7.5568862275449105,2.340093759404945,6,A First Course in Optimization,Theory
EE 660,6.777777777777778,1.7908358429863191,6,Application of Power Electronics to Power Systems,Theory
EE 669,7.197478991596639,2.2639256049065195,6,VLSI Technology,Theory
EE 671,7.3666169895678095,3.2536422453360183,6,VLSI Design,Theory
EE 675,8.098591549295774,3.636182848983871,6,Microprocessor Applications in Power Electronics,Theory
EE 679,7.653061224489796,3.6443119448109167,6,Speech Processing,Theory
EE 691,9.743243243243244,9.35098235359848,6,R & D Project,Other Project
EE 694,8.8714859437751,7.6639760134564465,6,Seminar,Seminar
EE 703,7.703703703703703,2.194423576310629,7,Digital Message Transmission,Theory
EE 720,7.341463414634147,3.517861287946277,7,An Introduction to Number Theory and Cryptography,Theory
EE 721,8.290030211480362,5.284220178697743,7,Hardware Description,Theory
EE 723,8.569620253164556,3.9754628997606183,7,Physics of Nanoelectronic Devices - I,Theory
EE 733,7.3681592039801,2.784271607632558,7,Solid State Devices,Theory
EE 748,8.211267605633802,4.791821982635716,7,Advanced Topics in Computer Architecture,Theory
EE 759,7.635135135135135,2.470046552804805,7,Applied Mathematical Analysis in Engineering,Theory
EE 781,8.275,4.072223146049817,7,Integrated Circuit Design for Sensor Systems,Theory
EE 788,8.428571428571429,2.8572231629358944,7,Advanced CMOS Logic and Flash Memory Devices,Theory
EE 789,8.48917748917749,5.866884011482607,7,Algorithmic Design of Digital Systems,Theory
EES801,9.1,7.516442374268912,8,Seminar,Seminar
EE 309,7.940438871473354,4.305566672670411,3,Microprocessors,Theory
EE 338,8.038116591928251,3.4664198239755573,3,Digital Signal Processing,Theory
EE 602,7.723472668810289,3.4318966952641863,6,Radar Systems,Theory
EE 613,7.540322580645161,3.125374129910061,6,Nonlinear Dynamical Systems,Theory
EN 203,7.111111111111111,3.120415522668558,2,Thermodynamics and Energy Conversion,Theory
EN 207,7.345132743362832,3.059363989189426,2,Data Analysis and Interpretation,Theory
EN 209,6.466666666666667,1.9593623829660929,2,Basic Electrical & Electronics Engineering,Theory
EN 211,6.944954128440367,2.714425091471484,2,Mechanics of Materials,Theory
EN 301,7.55774647887324,2.8921222292976534,3,Introduction to Renewable Energy Technologies,Theory
EN 309,8.984962406015038,7.380960134167064,3,Thermal & Fluid Engineering Lab,Lab
EN 313,6.402985074626866,2.135832998818542,3,Power Electronics,Theory
EN 315,6.727891156462585,2.4468225418626486,3,Reaction Engineering & Combustion,Theory
EN 317,7.492753623188406,2.770743715150444,3,Thermo-Fluid Devices,Theory
EN 401,7.102189781021898,2.84710315395986,4,Energy Systems modelling and analysis,Theory
EN 406,7.3936170212765955,4.148358591237583,4,Seminar,Seminar
EN 407,7.191176470588236,2.1602511545137477,4,Chemistry for Energy Science,Theory
EN 409,7.0,1.700816718778602,4,Mathematical Foundation for Energy Science,Theory
EN 411,7.2835820895522385,2.2830432665754965,4,Physics for Energy Science,Theory
EN 413,7.184615384615385,2.911476321988772,4,Materials Science for Energy,Theory
EN 601,6.679738562091504,3.2413727879718683,6,Nonconventional Energy Sources,Theory
EN 602,6.595744680851064,2.1727087417641706,6,Foundation for Energy Engineering,Theory
EN 606,7.163398692810458,2.2794098292285336,6,"Energy Resources, Economics and Environment",Theory
