,Course Code,F-avg,nXX
797,CL 306,2.352069436120471,3
798,CL 310,2.0856827357774734,3
799,CL 325,1.6131962299820513,3
800,CL 445,8.040154152717639,4
801,CL 494,3.770505159536701,4
802,CL 603,2.4151569826702834,6
803,CL 604,2.4870328830309227,6
804,CL 613,2.6169037758013696,6
805,CL 678,4.09452794674488,6
806,CL 686,3.6014213154555903,6
807,CL 694,6.181872134058962,6
808,CL 716,0.828104730430161,7
809,CL 722,0.781854517323208,7
810,CM 402,3.2557505151964197,4
811,CS 310,2.570243198953733,3
812,CS 692,3.3952591953212505,6
813,CS 741,2.8794199058626018,7
814,CS 777,4.727530090273703,7
815,CS 252,4.048258643455597,2
816,CS 302,2.9983732157406444,3
817,CS 316,6.799095776401055,3
818,CS 317,3.377260544844279,3
819,CS 387,6.258810729998667,3
820,CS 406,2.9563326437299664,4
821,CS 419,2.824121809292491,4
822,CS 496,7.2152820695205016,4
823,CS 681,2.871163708565141,6
824,CS 684,4.623816030976371,6
825,CS 695,2.860690101636287,6
826,CS 719,0.7803781880475422,7
827,CS 726,3.4291793323569957,7
828,CS 728,4.805611219509904,7
829,CS 736,3.9814129061594774,7
830,CS 748,4.551537370702173,7
831,CS 752,2.823686621775151,7
832,CS 753,3.297086608427705,7
833,CS 763,2.865282659739367,7
834,CS 766,2.634252039398144,7
835,CS 769,3.6991877618465137,7
836,CS 772,3.0207846036101436,7
837,CS 779,4.110832148582327,7
838,DS 303,2.6051523389527333,3
839,EE 114,2.8254670494451375,1
840,EE 214,3.9327609032214386,2
842,EE 324,8.204579599591453,3
843,EE 325,2.0158825998377603,3
844,EE 340,3.5732872901763266,3
845,EE 605,3.059171129454147,6
846,EE 616,4.753809142758617,6
847,EE 678,3.9734684309855415,6
848,EE 692,3.7091687290269353,6
849,EE 735,3.708646608846299,7
850,EE 799,4.58083148607944,7
851,EE 238,3.309255492571771,2
852,EE 240,6.362711375955786,2
853,EE 302,2.574326595010965,3
854,EE 334,1.4632451676362173,3
855,EE 337,3.9767816528797937,3
